시군구,㎡당단가(만원)
경기도 가평군 가평읍,258.772737890109
경기도 가평군 북면,223.96539903737073
경기도 가평군 상면,84.48315179177713
경기도 가평군 설악면,80.75457897557195
경기도 가평군 조종면,173.12625952026332
경기도 가평군 청평면,212.0112549275568
경기도 고양시 덕양구,425.42967544393605
경기도 고양시 일산동구,438.2635834961467
경기도 고양시 일산서구,410.2657746570319
경기도 과천시 갈현동,712.3997326323816
경기도 과천시 과천동,835.4824007247928
경기도 과천시 막계동,841.67817679558
경기도 과천시 문원동,582.8710864920462
경기도 과천시 별양동,587.636918156164
경기도 과천시 부림동,1567.926433761169
경기도 과천시 원문동,695.5313241202098
경기도 과천시 주암동,1439.7733260387006
경기도 과천시 중앙동,757.3946237063934
경기도 광명시 가학동,508.2940108790323
경기도 광명시 광명동,461.52650811175585
경기도 광명시 노온사동,475.6515116388036
경기도 광명시 소하동,712.659499303446
경기도 광명시 옥길동,485.65689351214075
경기도 광명시 일직동,773.8776179360224
경기도 광명시 철산동,722.4423590769352
경기도 광명시 하안동,389.77312886926126
경기도 광주시 경안동,429.54761107156554
경기도 광주시 고산동,348.46582218747085
경기도 광주시 곤지암읍,248.76686127166107
경기도 광주시 남종면,412.8682903869179
경기도 광주시 남한산성면,420.9421459965952
경기도 광주시 능평동,314.9051093411378
경기도 광주시 도척면,217.57362369757942
경기도 광주시 매산동,261.84245172240026
경기도 광주시 목동,251.36075255609438
경기도 광주시 목현동,278.9285063141287
경기도 광주시 문형동,303.3497668226968
경기도 광주시 삼동,237.81886992854774
경기도 광주시 송정동,309.08632217497535
경기도 광주시 신현동,336.99815099211577
경기도 광주시 쌍령동,518.638597816649
경기도 광주시 양벌동,471.70798633109973
경기도 광주시 역동,327.8606285995183
경기도 광주시 장지동,589.305751070616
경기도 광주시 중대동,345.11422275415964
경기도 광주시 직동,270.61526851452237
경기도 광주시 초월읍,275.84079242765876
경기도 광주시 추자동,398.03953817189057
경기도 광주시 탄벌동,994.4857069217501
경기도 광주시 태전동,786.9664638844964
경기도 광주시 퇴촌면,312.5693221240889
경기도 광주시 회덕동,187.58417421591338
경기도 구리시 갈매동,1006.9972139629757
경기도 구리시 교문동,372.1451328188423
경기도 구리시 사노동,376.7041460965938
경기도 구리시 수택동,465.00267427727783
경기도 구리시 아천동,487.0692019749248
경기도 구리시 인창동,450.35614089013546
경기도 구리시 토평동,672.8574057245361
경기도 군포시 금정동,341.180661643897
경기도 군포시 당동,387.0190952622851
경기도 군포시 당정동,369.2026353677448
경기도 군포시 대야미동,291.98754228286026
