인허가일자,폐업일자,경도,위도
1995-08-23,2020-02-12,127.03223455427724,37.26095391379841
1995-09-04,2008-08-05,127.03234867586879,37.25864337482606
2003-08-28,2018-10-31,127.01623629742453,37.27354245337069
2003-09-18,2010-09-28,127.01842558256814,37.27434959830022
2000-11-13,2015-11-09,127.06361829052244,37.2700880128665
1991-12-03,2022-04-01,127.02114001401054,37.27443126492003
1992-12-17,2021-08-18,127.03431250484121,37.26630108471608
2005-06-08,2008-04-02,126.9716443107772,37.29946170020475
2011-04-11,2021-04-15,127.03018960197147,37.29966598162306
2003-12-11,2025-02-14,127.0087876414905,37.292799150480825
2009-03-31,2018-12-10,126.99339451138579,37.305370037402994
2011-11-18,2016-09-28,126.99594565880153,37.2827189693772
2011-08-12,2020-05-31,126.99485463430649,37.28194008884575
2019-11-26,2022-07-13,127.03089948707776,37.23893231980328
2019-11-26,2022-07-13,127.03089948707776,37.23893231980328
2011-12-12,2028-05-30,126.95530054880548,37.27433721137723
2012-03-27,2028-05-30,127.05051544486157,37.2906729566168
2012-12-17,2028-05-30,127.04140984558633,37.26181978408748
2001-09-13,2028-05-30,127.02088494870455,37.250442075459226
2013-07-19,2028-05-30,127.04864864391608,37.24607784516625
2014-09-16,2028-05-30,127.03116455558943,37.2927141969716
2014-09-16,2028-05-30,127.04198670616276,37.26585243459555
2014-09-22,2028-05-30,127.04354418860298,37.274514127619824
2014-11-20,2028-05-30,126.99710862780574,37.26417399892895
2015-05-18,2028-05-30,127.05592126161362,37.28624449374331
2015-05-29,2028-05-30,127.05051544486157,37.2906729566168
2015-06-29,2028-05-30,127.0477060480035,37.29657545697662
2000-11-13,2028-05-30,127.06361829052244,37.2700880128665
2015-12-31,2028-05-30,126.98477434492335,37.30963488837286
2017-06-02,2028-05-30,127.02640407106486,37.252939960169336
2017-07-26,2028-05-30,127.03009302397227,37.246722765812976
2018-02-26,2028-05-30,127.05773877289877,37.2870482224088
2018-03-07,2028-05-30,127.05081921428612,37.27618635884925
2019-06-21,2028-05-30,127.05743978708712,37.285206307744275
2019-11-14,2028-05-30,127.05746595168733,37.28251788719269
2021-05-25,2028-05-30,126.99470419120419,37.28981945986868
2021-09-13,2028-05-30,126.99470419120419,37.28981945986868
2022-02-22,2028-05-30,126.9970939371946,37.26627115876977
2022-07-18,2028-05-30,127.01220449305262,37.26763197641764
2023-02-23,2028-05-30,127.01837338835381,37.26936951066338
2023-05-04,2028-05-30,127.02268916231222,37.270432613881134
2023-05-04,2028-05-30,127.00843327347191,37.30551618307593
2023-10-30,2028-05-30,126.99133346859048,37.287553682865465
2023-11-21,2028-05-30,126.99192249504586,37.287226836399554
1967-12-17,2028-05-30,127.00240893187895,37.26614106272194
1969-12-19,2028-05-30,127.01860164288661,37.27716698916784
1977-01-19,2028-05-30,127.01732588835739,37.277013454391884
1980-03-03,2028-05-30,126.99847354899636,37.269492363549446
1985-09-26,2028-05-30,127.02522098461631,37.29496609208041
1989-09-01,2028-05-30,127.0212723427709,37.297984758317604
1989-11-26,2028-05-30,126.97617289669459,37.28149899265191
1989-09-19,2028-05-30,127.04198670616276,37.26585243459555
1989-10-13,2028-05-30,127.04363206023342,37.26952516465299
1990-02-28,2028-05-30,126.99570410453897,37.3046326095908
1991-05-31,2028-05-30,126.97617289669459,37.28149899265191
1991-12-07,2028-05-30,126.97617289669459,37.28149899265191
1991-01-17,2028-05-30,127.03856967934885,37.257339935572105
1991-12-03,2028-05-30,127.02114001401054,37.27443126492003
1992-12-17,2028-05-30,127.03431250484121,37.26630108471608
1992-11-26,2028-05-30,127.03431250484121,37.26630108471608
1993-03-16,2028-05-30,126.97617289669459,37.28149899265191
1993-03-31,2028-05-30,126.99809260139381,37.29516136957436
1993-04-24,2028-05-30,127.0079888342323,37.289048719560476
1993-09-14,2028-05-30,127.02538763093591,37.255889522791584
1993-07-13,2028-05-30,127.02417908286903,37.26600337299199
1993-09-20,2028-05-30,127.00520984974223,37.30286565294704
1994-01-27,2028-05-30,127.05618355222765,37.270955335801894
1994-02-19,2028-05-30,127.05111899643842,37.26746022686834
1995-10-07,2028-05-30,127.00090909261627,37.29070055416147
1995-04-18,2028-05-30,127.00778262943757,37.295329979439025
1995-10-07,2028-05-30,127.01190750071854,37.2912846212518
1995-03-29,2028-05-30,126.95293919513497,37.269610327484486
1995-04-18,2028-05-30,127.00778262943757,37.295329979439025
1996-03-04,2028-05-30,127.03160845458396,37.2598641337385
1991-03-19,2028-05-30,127.02844393281222,37.297957920481785
2000-08-26,2028-05-30,127.00879738457297,37.302724733130525
2000-11-13,2028-05-30,127.06361829052244,37.2700880128665
2000-08-25,2028-05-30,127.07254100022313,37.251779334425166
2000-08-25,2028-05-30,127.07254100022313,37.251779334425166
2001-10-05,2028-05-30,127.02088494870455,37.250442075459226
2001-09-13,2028-05-30,127.02088494870455,37.250442075459226
2001-11-17,2028-05-30,127.07158257490269,37.252680618572136
2002-02-26,2028-05-30,127.03013105210265,37.26276659311474
2003-02-11,2028-05-30,126.99989106967686,37.26616877471073
2003-02-11,2028-05-30,126.99989106967686,37.26616877471073
2003-04-25,2028-05-30,127.00745103346215,37.30352052706336
2003-08-18,2028-05-30,127.03470254407681,37.25026170298792
2003-11-20,2028-05-30,126.98220287322032,37.2964243173041
2003-09-15,2028-05-30,127.01842558256814,37.27434959830022
2000-08-25,2028-05-30,127.00879738457297,37.302724733130525
2000-08-25,2028-05-30,127.07254100022313,37.251779334425166
2005-08-18,2028-05-30,126.97021760302582,37.2824230079768
2006-01-25,2028-05-30,127.03160845458396,37.2598641337385
2007-06-22,2028-05-30,126.98516278580126,37.25528416908639
2010-05-20,2028-05-30,127.00983534415447,37.259819912651686
2011-01-25,2028-05-30,127.00150087263866,37.269675065615004
2011-10-31,2028-05-30,127.04140984558633,37.26181978408748
2011-10-31,2028-05-30,126.99648704526152,37.281373019400256
2002-12-05,2028-05-30,126.99543286495258,37.29656676451484
2009-07-10,2028-05-30,127.03574186800367,37.27069926134714
2010-02-27,2028-05-30,127.03213473797169,37.27999469807355
2013-06-14,2028-05-30,127.11519607433793,37.36538668772177
2013-06-14,2028-05-30,127.1371616969236,37.374181988611994
2013-06-14,2028-05-30,127.12639340365281,37.36693874923542
2013-06-14,2028-05-30,127.13566621120626,37.44183516360748
2014-10-02,2028-05-30,127.14345847021698,37.37045801476908
2015-04-14,2028-05-30,127.11202812741021,37.392776225873575
2016-03-21,2028-05-30,127.10820211233232,37.395485068373496
2021-04-08,2028-05-30,127.09808848533855,37.41206077236201
2023-11-08,2028-05-30,127.12586506912075,37.39501887927184
1997-08-29,2028-05-30,127.12577746714646,37.409468270198154
1992-07-03,2028-05-30,127.13021315947447,37.37971225796021
1974-10-18,2028-05-30,127.12742465579164,37.43063351273976
1974-12-11,2028-05-30,127.1319700579343,37.44170088266292
1971-04-02,2028-05-30,127.14644399497624,37.44130493764675
1991-02-05,2028-05-30,127.15991417957049,37.45021058037486
1993-11-05,2028-05-30,127.15807073983066,37.444626913186944
