시군구,연도,0~9,10~19,20~29,30~39,40~49,50~59
강원도 (4200000000),2011,132030,197384,183798,213295,255010,250600
강원도 (4200000000),2012,129660,191577,180716,208796,252053,256968
강원도 (4200000000),2013,126868,185598,180364,202244,253169,264144
강원도 (4200000000),2014,124511,178979,181760,194502,252750,267736
강원도 (4200000000),2015,123275,171073,184802,189754,250407,269286
강원도 (4200000000),2016,121381,163401,184869,185407,246372,271727
강원도 (4200000000),2017,116726,156946,185914,180188,242216,270839
강원도 (4200000000),2018,112664,150060,182891,175578,233996,271635
강원도 (4200000000),2019,109556,143799,181102,170669,228292,270588
강원도 (4200000000),2020,105598,137508,180015,166349,224378,267815
강원도 (4200000000),2021,100971,133885,175424,162817,219422,264586
강원도 (4200000000),2022,96036,132133,170194,160365,215872,262025
강원도 (4200000000),2023,110220,150552,178913,175526,231437,265389
강원도 (4200000000),2024,110220,150552,178913,175526,231437,265389
강원도 (4200000000),2025,110220,150552,178913,175526,231437,265389
강원도 강릉시,2011,18265,28431,24907,30887,36162,35792
강원도 강릉시,2012,17769,27970,24462,30035,35702,36526
강원도 강릉시,2013,17017,27107,24533,28280,35857,37166
강원도 강릉시,2014,16316,25907,24835,26705,35816,37313
강원도 강릉시,2015,15943,24320,24847,25494,35694,37118
강원도 강릉시,2016,15624,23125,24804,24580,35071,37300
강원도 강릉시,2017,14997,22104,25130,23851,34570,37069
강원도 강릉시,2018,14512,20922,25047,23140,33434,37198
강원도 강릉시,2019,14037,20214,25401,22294,32932,36860
강원도 강릉시,2020,13488,18974,25201,21691,32357,36652
강원도 강릉시,2021,12837,18449,24560,21221,31762,36670
강원도 강릉시,2022,12142,18011,23804,20625,30918,36193
강원도 강릉시,2023,14260,21087,24715,23350,33157,36669
강원도 강릉시,2024,14260,21087,24715,23350,33157,36669
강원도 강릉시,2025,14260,21087,24715,23350,33157,36669
강원도 고성군,2011,1835,3161,4114,3048,4348,5372
강원도 고성군,2012,1767,2961,4370,2932,4232,5448
강원도 고성군,2013,1668,2810,4910,2819,4058,5518
강원도 고성군,2014,1630,2680,4806,2697,4048,5483
강원도 고성군,2015,1579,2552,4594,2654,3963,5416
강원도 고성군,2016,1533,2453,4469,2554,3930,5500
강원도 고성군,2017,1492,2324,4372,2529,3865,5480
강원도 고성군,2018,1345,1985,3625,2359,3398,5241
강원도 고성군,2019,1348,1772,3169,2262,3198,4997
강원도 고성군,2020,1273,1621,2868,2219,3063,4822
강원도 고성군,2021,1354,1588,2678,2379,3077,4797
강원도 고성군,2022,1298,1591,2597,2317,3032,4718
강원도 고성군,2023,1427,2012,3390,2455,3431,5055
강원도 고성군,2024,1427,2012,3390,2455,3431,5055
강원도 고성군,2025,1427,2012,3390,2455,3431,5055
강원도 동해시,2011,8648,13003,10688,14052,16103,15564
강원도 동해시,2012,8317,12269,10068,13359,15737,15757
강원도 동해시,2013,8484,11972,10336,13079,16132,15955
강원도 동해시,2014,8330,11457,10112,12396,16259,15992
강원도 동해시,2015,8142,10931,9787,12042,16167,15840
강원도 동해시,2016,7981,10416,9710,11554,15973,15884
강원도 동해시,2017,7651,9948,9944,10927,15792,15753
강원도 동해시,2018,7306,9471,9631,10095,15236,15721
강원도 동해시,2019,6876,9084,9437,9555,14897,15706
강원도 동해시,2020,6625,8817,9419,9233,14569,15638
강원도 동해시,2021,6272,8535,9361,8677,14228,15731
강원도 동해시,2022,5828,8442,8928,8419,13868,15652
강원도 동해시,2023,7010,9631,9567,10147,14939,15715
강원도 동해시,2024,7010,9631,9567,10147,14939,15715
강원도 동해시,2025,7010,9631,9567,10147,14939,15715
강원도 삼척시,2011,5141,8606,9310,9079,10843,12144
강원도 삼척시,2012,4984,8393,9504,8785,10677,12359
강원도 삼척시,2013,4832,8121,9934,8539,10811,12498
강원도 삼척시,2014,4816,7856,9550,8044,10783,12442
강원도 삼척시,2015,4748,7241,9002,7553,10557,12312
강원도 삼척시,2016,4609,6775,8696,7127,10224,12211
강원도 삼척시,2017,4366,6455,8499,6738,9893,11954
강원도 삼척시,2018,4310,6012,8334,6697,9703,11986
강원도 삼척시,2019,4139,5610,7935,6344,9332,11767
강원도 삼척시,2020,3861,5134,7236,5795,8923,11331
강원도 삼척시,2021,3524,5018,6721,5210,8497,10920
강원도 삼척시,2022,3394,5010,6736,5082,8313,10742
강원도 삼척시,2023,4081,6012,7825,6390,9355,11534
강원도 삼척시,2024,4081,6012,7825,6390,9355,11534
강원도 삼척시,2025,4081,6012,7825,6390,9355,11534
강원도 속초시,2011,7184,11724,9151,11612,15333,13954
강원도 속초시,2012,7062,11255,8994,11260,15146,14418
강원도 속초시,2013,6772,10777,8848,10852,14950,14858
강원도 속초시,2014,6628,10230,8871,10285,14603,14962
강원도 속초시,2015,6543,9621,8836,10037,14292,14959
강원도 속초시,2016,6411,9086,8962,9746,13914,15077
강원도 속초시,2017,6171,8625,9170,9674,13753,15139
강원도 속초시,2018,6052,8201,8948,9448,13078,15201
강원도 속초시,2019,5961,7772,8912,9292,12650,15219
강원도 속초시,2020,5859,7478,9018,9199,12482,15176
강원도 속초시,2021,5621,7220,8958,9112,12149,15068
강원도 속초시,2022,5398,7054,8647,9115,12005,15045
강원도 속초시,2023,6023,8317,8918,9626,13073,14985
강원도 속초시,2024,6023,8317,8918,9626,13073,14985
강원도 속초시,2025,6023,8317,8918,9626,13073,14985
강원도 양구군,2011,2079,2689,3357,2839,3259,3340
강원도 양구군,2012,2107,2789,3384,2916,3163,3586
강원도 양구군,2013,2140,2789,3639,2950,3231,3809
강원도 양구군,2014,2104,2745,3758,2947,3252,3876
강원도 양구군,2015,2075,2664,4001,2909,3159,3824
강원도 양구군,2016,2039,2522,4020,2829,3064,3869
강원도 양구군,2017,1984,2449,3822,2814,2970,3845
강원도 양구군,2018,1935,2312,3605,2777,2822,3742
강원도 양구군,2019,1887,2135,3276,2683,2646,3688
강원도 양구군,2020,1702,2047,3171,2547,2556,3547
강원도 양구군,2021,1649,1929,2856,2471,2428,3407
강원도 양구군,2022,1552,1884,2614,2390,2432,3269
강원도 양구군,2023,1820,2218,3230,2641,2736,3549
강원도 양구군,2024,1820,2218,3230,2641,2736,3549
강원도 양구군,2025,1820,2218,3230,2641,2736,3549
강원도 양양군,2011,1879,2792,2937,3200,4129,5107
강원도 양양군,2012,1789,2676,2794,3089,4059,5127
강원도 양양군,2013,1682,2546,2839,2919,4016,5173
강원도 양양군,2014,1617,2482,2641,2769,4013,5180
강원도 양양군,2015,1573,2393,2600,2658,3896,5135
강원도 양양군,2016,1494,2242,2540,2547,3752,5155
강원도 양양군,2017,1417,2145,2445,2453,3703,5117
강원도 양양군,2018,1356,2068,2376,2426,3617,5098
강원도 양양군,2019,1384,1960,2362,2431,3599,5128
강원도 양양군,2020,1350,1845,2411,2340,3524,5101
강원도 양양군,2021,1269,1770,2327,2244,3444,4938
강원도 양양군,2022,1169,1753,2191,2140,3417,4876
강원도 양양군,2023,1399,2047,2435,2452,3637,5043
강원도 양양군,2024,1399,2047,2435,2452,3637,5043
강원도 양양군,2025,1399,2047,2435,2452,3637,5043
강원도 영월군,2011,2553,4296,3905,4256,6267,7457
강원도 영월군,2012,2481,4182,3764,4200,6034,7548
강원도 영월군,2013,2403,4050,3670,4024,6014,7685
강원도 영월군,2014,2241,4015,3647,3761,5967,7769
강원도 영월군,2015,2152,3779,3750,3618,5840,7853
강원도 영월군,2016,2081,3600,3714,3445,5643,7882
강원도 영월군,2017,1981,3429,3724,3306,5496,7840
강원도 영월군,2018,1873,3260,3646,3176,5191,7730
강원도 영월군,2019,1779,3032,3440,3009,4882,7604
강원도 영월군,2020,1677,2869,3311,2780,4614,7364
강원도 영월군,2021,1549,2748,3136,2620,4322,7097
강원도 영월군,2022,1467,2683,2966,2492,4252,6867
강원도 영월군,2023,1833,3195,3403,3081,4988,7389
강원도 영월군,2024,1833,3195,3403,3081,4988,7389
강원도 영월군,2025,1833,3195,3403,3081,4988,7389
강원도 원주시,2011,31542,46515,40016,49538,57848,47800
강원도 원주시,2012,31393,45063,40196,49057,58006,49756
강원도 원주시,2013,30629,43629,40020,47572,58603,52094
강원도 원주시,2014,30382,42306,40384,46416,59042,53802
강원도 원주시,2015,30771,41005,41380,46452,59232,55645
강원도 원주시,2016,30769,39711,42547,46372,59019,57365
강원도 원주시,2017,29848,38740,43863,45587,58914,58054
강원도 원주시,2018,29037,37615,44367,45313,57667,59403
강원도 원주시,2019,28801,36767,45028,45276,57401,60168
강원도 원주시,2020,28302,35918,45576,45323,57215,60829
강원도 원주시,2021,27420,35362,44938,45429,56864,61255
강원도 원주시,2022,26437,35196,43982,45454,56740,61580
강원도 원주시,2023,28710,38036,43636,46019,57580,58455
강원도 원주시,2024,28710,38036,43636,46019,57580,58455
강원도 원주시,2025,28710,38036,43636,46019,57580,58455
강원도 인제군,2011,3059,3466,4282,4573,4745,5303
강원도 인제군,2012,3122,3384,4325,4624,4655,5477
강원도 인제군,2013,3103,3251,4134,4598,4661,5701
강원도 인제군,2014,3041,3129,4144,4517,4610,5697
강원도 인제군,2015,3023,2989,4901,4442,4496,5726
강원도 인제군,2016,2936,2811,4569,4392,4336,5702
강원도 인제군,2017,2872,2661,4451,4345,4278,5577
강원도 인제군,2018,2699,2563,4293,4126,4148,5544
강원도 인제군,2019,2592,2392,4190,3920,3987,5476
강원도 인제군,2020,2499,2314,4067,3902,3998,5255
강원도 인제군,2021,2499,2236,4209,3981,3938,5107
강원도 인제군,2022,2386,2315,4026,3948,3987,4973
강원도 인제군,2023,2668,2582,4227,4134,4171,5321
강원도 인제군,2024,2668,2582,4227,4134,4171,5321
강원도 인제군,2025,2668,2582,4227,4134,4171,5321
강원도 정선군,2011,2628,3824,4421,5148,6088,7504
강원도 정선군,2012,2601,3728,4083,5057,5948,7582
강원도 정선군,2013,2595,3620,3879,4939,5932,7771
강원도 정선군,2014,2509,3400,3609,4636,5863,7791
강원도 정선군,2015,2439,3289,3498,4393,5791,7720
강원도 정선군,2016,2361,3120,3332,4103,5679,7630
강원도 정선군,2017,2177,2999,3209,3837,5484,7497
강원도 정선군,2018,2032,2856,3050,3648,5261,7402
강원도 정선군,2019,1896,2694,2953,3373,5102,7268
강원도 정선군,2020,1736,2544,2820,3078,4978,6986
강원도 정선군,2021,1628,2412,2625,2755,4626,6682
강원도 정선군,2022,1439,2333,2490,2498,4453,6473
강원도 정선군,2023,1935,2806,3056,3468,5128,7101
강원도 정선군,2024,1935,2806,3056,3468,5128,7101
강원도 정선군,2025,1935,2806,3056,3468,5128,7101
강원도 철원군,2011,4386,5839,6194,6440,7306,7380
강원도 철원군,2012,4330,5645,5943,6398,7219,7647
강원도 철원군,2013,4225,5423,5570,6152,7143,7853
강원도 철원군,2014,4149,5226,5983,5857,7054,7853
강원도 철원군,2015,3975,4984,7443,5710,6895,7844
강원도 철원군,2016,3819,4789,7135,5497,6633,7821
강원도 철원군,2017,3638,4577,6885,5208,6453,7719
강원도 철원군,2018,3469,4330,6630,5042,6162,7615
강원도 철원군,2019,3446,4053,6138,4876,5960,7514
강원도 철원군,2020,3365,3795,5846,4687,5687,7227
강원도 철원군,2021,3155,3629,5242,4496,5483,6929
강원도 철원군,2022,2952,3408,4799,4412,5161,6712
강원도 철원군,2023,3491,4222,5866,5035,6023,7287
강원도 철원군,2024,3491,4222,5866,5035,6023,7287
강원도 철원군,2025,3491,4222,5866,5035,6023,7287
강원도 춘천시,2011,24700,37417,34594,39691,46947,42091
강원도 춘천시,2012,24304,36388,33970,38989,46653,43268
강원도 춘천시,2013,24056,35376,33649,38202,46959,44497
강원도 춘천시,2014,23976,34147,33830,37270,46915,45506
강원도 춘천시,2015,24022,32909,34843,36823,46563,45878
강원도 춘천시,2016,24054,31556,35805,36790,46236,46351
강원도 춘천시,2017,23272,30226,36418,36073,45081,46334
강원도 춘천시,2018,22634,29152,36518,35515,43878,46694
강원도 춘천시,2019,22272,27974,36965,34841,42827,46998
강원도 춘천시,2020,21669,26937,37345,34254,42476,47024
강원도 춘천시,2021,20826,26476,37437,34379,41949,46820
강원도 춘천시,2022,20035,26339,37416,34393,41649,46775
강원도 춘천시,2023,22135,29311,36495,35601,43659,46160
강원도 춘천시,2024,22135,29311,36495,35601,43659,46160
강원도 춘천시,2025,22135,29311,36495,35601,43659,46160
강원도 태백시,2011,4362,5622,5417,7383,7771,8838
강원도 태백시,2012,4240,5470,5002,7101,7688,8726
강원도 태백시,2013,4066,5311,4699,6673,7711,8643
강원도 태백시,2014,3940,5164,4615,6214,7656,8522
강원도 태백시,2015,3775,4947,4535,5805,7557,8283
강원도 태백시,2016,3627,4679,4511,5465,7414,8231
강원도 태백시,2017,3367,4425,4259,5071,7239,7958
강원도 태백시,2018,3113,4322,4067,4600,6952,7843
강원도 태백시,2019,2862,4060,3859,4224,6655,7610
강원도 태백시,2020,2574,3831,3679,3779,6434,7376
강원도 태백시,2021,2301,3665,3452,3296,6095,6981
강원도 태백시,2022,2007,3556,3210,2983,5781,6874
강원도 태백시,2023,2923,4217,3953,4454,6683,7623
강원도 태백시,2024,2923,4217,3953,4454,6683,7623
강원도 태백시,2025,2923,4217,3953,4454,6683,7623
강원도 평창군,2011,3097,4583,4300,5196,6932,8302
강원도 평창군,2012,3028,4411,4160,5014,6728,8492
강원도 평창군,2013,2906,4252,4018,4830,6772,8732
강원도 평창군,2014,2793,4108,3953,4583,6759,8784
강원도 평창군,2015,2636,3909,3883,4351,6631,8810
강원도 평창군,2016,2547,3731,3840,4122,6502,8745
강원도 평창군,2017,2381,3553,3769,3916,6247,8655
강원도 평창군,2018,2212,3377,3660,3650,5860,8612
강원도 평창군,2019,2036,3137,3468,3427,5526,8400
강원도 평창군,2020,1868,2907,3415,3098,5341,8080
강원도 평창군,2021,1715,2724,3240,2824,5053,7802
강원도 평창군,2022,1584,2704,3104,2717,4845,7644
강원도 평창군,2023,2123,3279,3542,3534,5684,8197
강원도 평창군,2024,2123,3279,3542,3534,5684,8197
강원도 평창군,2025,2123,3279,3542,3534,5684,8197
강원도 홍천군,2011,5361,7975,7547,8357,10910,12736
강원도 홍천군,2012,5148,7765,7298,8082,10595,13027
강원도 홍천군,2013,5113,7515,7604,8032,10495,13507
강원도 홍천군,2014,4937,7175,7457,7664,10295,13765
강원도 홍천군,2015,4903,6830,7263,7348,10038,13765
강원도 홍천군,2016,4735,6438,7056,7102,9748,13707
강원도 홍천군,2017,4536,6153,7073,6886,9494,13618
강원도 홍천군,2018,4401,5814,6796,6720,9001,13393
강원도 홍천군,2019,4061,5529,6583,6330,8567,13124
강원도 홍천군,2020,3800,5180,6875,6139,8297,12754
강원도 홍천군,2021,3535,4962,6495,5720,7973,12122
강원도 홍천군,2022,3381,4752,6126,5632,7706,11737
강원도 홍천군,2023,4130,5771,6773,6522,8840,12747
강원도 홍천군,2024,4130,5771,6773,6522,8840,12747
강원도 홍천군,2025,4130,5771,6773,6522,8840,12747
강원도 화천군,2011,2342,2518,4123,3347,3402,3629
강원도 화천군,2012,2340,2510,3981,3326,3402,3760
강원도 화천군,2013,2377,2479,3815,3320,3387,3901
강원도 화천군,2014,2364,2487,5318,3396,3454,4034
강원도 화천군,2015,2303,2333,5412,3269,3370,4034
강원도 화천군,2016,2220,2192,4899,3141,3203,4064
강원도 화천군,2017,2118,2102,4677,3053,3183,4072
강원도 화천군,2018,1975,1973,4053,2993,2970,4044
강원도 화천군,2019,1888,1921,3941,2882,2846,4016
강원도 화천군,2020,1791,1797,3906,2846,2745,3914
강원도 화천군,2021,1709,1721,3567,2763,2608,3758
강원도 화천군,2022,1575,1659,3144,2606,2507,3643
강원도 화천군,2023,1919,1966,3946,2932,2895,3855
강원도 화천군,2024,1919,1966,3946,2932,2895,3855
강원도 화천군,2025,1919,1966,3946,2932,2895,3855
강원도 횡성군,2011,2969,4923,4535,4649,6617,8287
강원도 횡성군,2012,2878,4718,4418,4572,6409,8464
강원도 횡성군,2013,2800,4570,4267,4464,6437,8783
강원도 횡성군,2014,2738,4465,4247,4345,6361,8965
강원도 횡성군,2015,2673,4377,4227,4196,6266,9124
강원도 횡성군,2016,2541,4155,4260,4041,6031,9233
강원도 횡성군,2017,2458,4031,4204,3920,5801,9158
강원도 횡성군,2018,2403,3827,4245,3853,5618,9168
강원도 횡성군,2019,2291,3693,4045,3650,5285,9045
강원도 횡성군,2020,2159,3500,3851,3439,5119,8739
강원도 횡성군,2021,2108,3441,3622,3240,4926,8502
강원도 횡성군,2022,1992,3443,3414,3142,4806,8252
강원도 횡성군,2023,2334,3841,3935,3684,5457,8704
강원도 횡성군,2024,2334,3841,3935,3684,5457,8704
강원도 횡성군,2025,2334,3841,3935,3684,5457,8704
강원특별자치도 (5100000000),2021,83528,126297,152518,158635,198657,258904
강원특별자치도 (5100000000),2022,83528,126297,152518,158635,198657,258904
강원특별자치도 (5100000000),2023,90872,129053,163610,158594,208819,262513
강원특별자치도 (5100000000),2024,85769,126637,156210,158524,200689,260847
강원특별자치도 (5100000000),2025,80673,125351,148129,158676,194973,257290
강원특별자치도 강릉시,2021,10507,16804,20837,20480,27814,36454
강원특별자치도 강릉시,2022,10507,16804,20837,20480,27814,36454
강원특별자치도 강릉시,2023,11413,17380,22654,20358,29591,36506
강원특별자치도 강릉시,2024,10800,16819,21391,20387,28251,36556
강원특별자치도 강릉시,2025,10151,16620,20130,20541,27149,36413
강원특별자치도 고성군,2021,1212,1583,2287,2369,2780,4535
강원특별자치도 고성군,2022,1212,1583,2287,2369,2780,4535
강원특별자치도 고성군,2023,1272,1593,2518,2373,2939,4648
강원특별자치도 고성군,2024,1205,1578,2332,2370,2794,4586
강원특별자치도 고성군,2025,1195,1581,2204,2368,2727,4487
강원특별자치도 동해시,2021,4868,7990,7845,8125,12270,15961
강원특별자치도 동해시,2022,4868,7990,7845,8125,12270,15961
강원특별자치도 동해시,2023,5426,8266,8485,8244,13245,15922
강원특별자치도 동해시,2024,5032,8067,8075,8173,12560,16041
강원특별자치도 동해시,2025,4652,7885,7588,8076,11893,15953
강원특별자치도 삼척시,2021,2855,4584,6092,4747,7129,10608
강원특별자치도 삼척시,2022,2855,4584,6092,4747,7129,10608
강원특별자치도 삼척시,2023,3196,4806,6589,4898,7831,10760
강원특별자치도 삼척시,2024,2966,4637,6324,4852,7313,10697
강원특별자치도 삼척시,2025,2721,4501,5878,4674,6864,10538
강원특별자치도 속초시,2021,4459,6666,7238,8723,11006,14592
강원특별자치도 속초시,2022,4459,6666,7238,8723,11006,14592
강원특별자치도 속초시,2023,5063,6826,8130,8946,11671,14927
강원특별자치도 속초시,2024,4680,6640,7493,8829,11197,14791
강원특별자치도 속초시,2025,4215,6623,6895,8627,10751,14438
강원특별자치도 양구군,2021,1292,1819,2200,2228,2291,3074
강원특별자치도 양구군,2022,1292,1819,2200,2228,2291,3074
강원특별자치도 양구군,2023,1454,1845,2412,2325,2380,3224
강원특별자치도 양구군,2024,1332,1804,2216,2233,2338,3114
강원특별자치도 양구군,2025,1231,1815,2130,2197,2252,3017
강원특별자치도 양양군,2021,1066,1666,1930,2036,3179,4711
강원특별자치도 양양군,2022,1066,1666,1930,2036,3179,4711
강원특별자치도 양양군,2023,1069,1694,2102,2079,3346,4861
강원특별자치도 양양군,2024,1060,1665,1976,2026,3210,4792
강원특별자치도 양양군,2025,1066,1657,1865,2025,3119,4644
강원특별자치도 영월군,2021,1250,2445,2515,2301,3714,6442
강원특별자치도 영월군,2022,1250,2445,2515,2301,3714,6442
강원특별자치도 영월군,2023,1420,2576,2799,2368,4034,6788
강원특별자치도 영월군,2024,1296,2481,2594,2296,3817,6600
강원특별자치도 영월군,2025,1185,2395,2407,2282,3589,6295
강원특별자치도 원주시,2021,24160,34478,39618,46615,54177,62463
강원특별자치도 원주시,2022,24160,34478,39618,46615,54177,62463
강원특별자치도 원주시,2023,25618,34679,42306,45545,55623,62537
강원특별자치도 원주시,2024,24560,34363,40481,46298,54306,62880
강원특별자치도 원주시,2025,23605,34444,38563,47028,53693,62335
강원특별자치도 인제군,2021,2030,2175,3509,3773,3746,4667
강원특별자치도 인제군,2022,2030,2175,3509,3773,3746,4667
강원특별자치도 인제군,2023,2289,2287,3888,3898,3906,4846
강원특별자치도 인제군,2024,2153,2170,3645,3854,3786,4726
강원특별자치도 인제군,2025,1918,2141,3356,3713,3686,4596
강원특별자치도 정선군,2021,1132,2153,2306,2269,4003,6466
강원특별자치도 정선군,2022,1132,2153,2306,2269,4003,6466
강원특별자치도 정선군,2023,1315,2239,2291,2316,4174,6336
강원특별자치도 정선군,2024,1168,2158,2139,2177,3871,6242
강원특별자치도 정선군,2025,1066,2125,2353,2277,3983,6563
강원특별자치도 철원군,2021,2361,3120,4155,4159,4549,6418
강원특별자치도 철원군,2022,2361,3120,4155,4159,4549,6418
강원특별자치도 철원군,2023,2659,3283,4532,4259,4890,6617
강원특별자치도 철원군,2024,2414,3166,4128,4162,4595,6543
강원특별자치도 철원군,2025,2255,3057,4044,4127,4431,6325
강원특별자치도 춘천시,2021,17696,25740,35645,34701,39279,46427
강원특별자치도 춘천시,2022,17696,25740,35645,34701,39279,46427
강원특별자치도 춘천시,2023,18917,26060,36972,34305,40807,46897
강원특별자치도 춘천시,2024,18017,25930,36582,34457,39478,46594
강원특별자치도 춘천시,2025,17234,25593,34996,34885,38751,46239
강원특별자치도 태백시,2021,1566,3269,2735,2735,5043,6733
강원특별자치도 태백시,2022,1566,3269,2735,2735,5043,6733
강원특별자치도 태백시,2023,1823,3385,3053,2844,5531,6860
강원특별자치도 태백시,2024,1654,3299,2790,2752,5206,6783
강원특별자치도 태백시,2025,1464,3226,2622,2696,4849,6681
강원특별자치도 평창군,2021,1257,2547,2770,2575,4174,7328
강원특별자치도 평창군,2022,1257,2547,2770,2575,4174,7328
강원특별자치도 평창군,2023,1413,2623,3034,2690,4496,7609
강원특별자치도 평창군,2024,1327,2577,2877,2670,4284,7423
강원특별자치도 평창군,2025,1191,2515,2661,2515,4046,7216
강원특별자치도 홍천군,2021,2894,4383,5118,5474,6896,10927
강원특별자치도 홍천군,2022,2894,4383,5118,5474,6896,10927
강원특별자치도 홍천군,2023,3193,4544,5752,5544,7349,11419
강원특별자치도 홍천군,2024,3005,4362,5310,5529,6971,11094
강원특별자치도 홍천군,2025,2773,4338,4872,5438,6735,10731
강원특별자치도 화천군,2021,1274,1610,2793,2466,2259,3432
강원특별자치도 화천군,2022,1274,1610,2793,2466,2259,3432
강원특별자치도 화천군,2023,1459,1618,2928,2595,2347,3616
강원특별자치도 화천군,2024,1364,1629,2827,2535,2319,3535
강원특별자치도 화천군,2025,1193,1603,2742,2409,2216,3348
강원특별자치도 횡성군,2021,1649,3265,2925,2860,4348,7665
강원특별자치도 횡성군,2022,1649,3265,2925,2860,4348,7665
강원특별자치도 횡성군,2023,1873,3349,3165,3007,4659,8140
강원특별자치도 횡성군,2024,1736,3292,3030,2924,4393,7850
강원특별자치도 횡성군,2025,1558,3232,2823,2798,4239,7471
경기도 (4100000000),2011,1255168,1660148,1558886,2088455,2227890,1637339
경기도 (4100000000),2012,1258575,1619150,1562100,2071071,2249470,1731415
경기도 (4100000000),2013,1251576,1580802,1576139,2039007,2288932,1816573
경기도 (4100000000),2014,1243973,1533881,1608430,1991551,2303367,1896033
경기도 (4100000000),2015,1251234,1479739,1644870,1969170,2302937,1962003
경기도 (4100000000),2016,1251110,1439515,1687250,1955946,2312530,2025958
경기도 (4100000000),2017,1226500,1410636,1721524,1934989,2313960,2077756
경기도 (4100000000),2018,1209856,1384896,1749054,1949571,2291231,2145977
경기도 (4100000000),2019,1184990,1355462,1770695,1925827,2290198,2198828
경기도 (4100000000),2020,1145984,1328214,1807848,1907459,2299423,2234920
경기도 (4100000000),2021,1099927,1321005,1798269,1900447,2296173,2274844
경기도 (4100000000),2022,1040954,1327726,1737291,1882300,2284603,2293422
경기도 (4100000000),2023,989550,1320631,1682138,1878734,2256931,2335999
경기도 (4100000000),2024,939988,1318307,1627548,1907383,2214874,2357607
경기도 (4100000000),2025,889965,1326501,1557604,1925447,2183467,2355969
경기도 가평군,2011,4427,6388,6208,7247,9377,10877
경기도 가평군,2012,4482,6383,6335,7208,9371,11237
경기도 가평군,2013,4418,6125,6241,6991,9298,11502
경기도 가평군,2014,4184,5977,6136,6672,9249,11746
경기도 가평군,2015,4201,5761,6207,6530,9101,11814
경기도 가평군,2016,4166,5467,6326,6469,8915,11819
경기도 가평군,2017,4031,5296,6413,6404,8779,11803
경기도 가평군,2018,3836,5095,6288,6310,8475,11766
경기도 가평군,2019,3607,4857,6174,5992,8097,11668
경기도 가평군,2020,3344,4634,6212,5742,7910,11364
경기도 가평군,2021,3155,4458,6125,5504,7780,11107
경기도 가평군,2022,2901,4429,5920,5400,7569,10891
경기도 가평군,2023,2763,4349,5700,5437,7459,10845
경기도 가평군,2024,2651,4205,5548,5518,7066,10744
경기도 가평군,2025,2485,4074,5267,5390,6789,10487
경기도 고양시,2011,46482,73430,60608,76316,98640,65038
경기도 고양시,2012,45822,70728,62479,73856,98892,69975
경기도 고양시,2013,45864,68901,64939,73303,100196,75290
경기도 고양시,2014,45838,66382,67510,72032,100256,80010
경기도 고양시,2015,46534,63589,70373,72386,99615,84138
경기도 고양시,2016,46154,60770,72599,71772,98712,87268
경기도 고양시,2017,44441,58542,73408,70123,96838,89398
경기도 고양시,2018,42670,56268,73513,69491,93632,92036
경기도 고양시,2019,42406,54500,74840,70808,92760,95562
경기도 고양시,2020,41061,52504,75462,71390,91200,97252
경기도 고양시,2021,38969,51177,73285,71377,88682,98533
경기도 고양시,2022,36964,50556,70114,71560,86427,98800
경기도 고양시,2023,35168,49474,67203,71796,84292,99370
경기도 고양시,2024,33142,48462,64036,72560,81290,98877
경기도 고양시,2025,30802,47936,59992,72164,79004,97188
경기도 과천시,2011,6734,11154,9306,10055,14624,10622
경기도 과천시,2012,6394,10640,9356,9611,14093,11093
경기도 과천시,2013,6175,10095,9539,9237,13759,11449
경기도 과천시,2014,5901,9586,9657,9019,13298,11895
경기도 과천시,2015,5600,8901,9730,8754,12560,12060
경기도 과천시,2016,5035,7990,8929,7968,11431,11111
경기도 과천시,2017,4463,7015,7983,6940,9977,10083
경기도 과천시,2018,4489,6713,8051,7415,9510,10359
경기도 과천시,2019,4507,6366,8023,7806,9209,10278
경기도 과천시,2020,5175,6319,8732,8787,9526,11093
경기도 과천시,2021,6488,7014,9710,10669,10892,12677
경기도 과천시,2022,7306,7511,9778,11633,11900,13009
경기도 과천시,2023,7995,7890,9503,12022,12474,13229
경기도 과천시,2024,8872,8241,9438,13270,13313,13249
경기도 과천시,2025,8165,8168,8117,12158,12884,11904
경기도 광명시,2011,38553,45047,48198,68352,61257,50263
경기도 광명시,2012,38241,43814,46849,66857,61739,52055
경기도 광명시,2013,37179,42671,45541,63955,62877,53112
경기도 광명시,2014,35735,41196,44731,60260,62855,53444
경기도 광명시,2015,34755,39396,43944,57342,62288,53786
경기도 광명시,2016,32762,38030,43374,53942,61437,53681
경기도 광명시,2017,30358,36483,42946,50804,59987,53218
경기도 광명시,2018,27919,35084,42235,48619,57639,53409
경기도 광명시,2019,25724,33063,40950,45227,55010,52573
경기도 광명시,2020,23283,30581,38256,41208,51599,49677
경기도 광명시,2021,21820,29533,36783,39974,49814,48957
경기도 광명시,2022,20317,29179,34871,38407,48544,48636
경기도 광명시,2023,18632,28172,33150,36706,46273,48513
경기도 광명시,2024,17377,27463,31948,36952,44539,48494
경기도 광명시,2025,18123,27910,32694,42135,45740,50523
경기도 광주시,2011,29305,32978,32153,48096,47736,39472
경기도 광주시,2012,30318,32650,32686,49412,49551,42254
경기도 광주시,2013,31153,32857,33346,51286,51805,44652
경기도 광주시,2014,32074,32882,34842,52537,54017,47302
