시군구,㎡당단가(만원)
경기도 가평군 가평읍,161.67458797602853
경기도 가평군 북면,116.14907191297034
경기도 가평군 상면,112.42116845027327
경기도 가평군 설악면,233.40794849791266
경기도 가평군 조종면,128.59370918326712
경기도 가평군 청평면,182.76711505074078
경기도 고양시 덕양구,373.90246740327876
경기도 고양시 일산동구,440.28723268164947
경기도 고양시 일산서구,383.1378615113462
경기도 과천시 갈현동,716.8590982239913
경기도 과천시 과천동,624.6848652770735
경기도 과천시 막계동,305.6416925077523
경기도 과천시 문원동,503.5246727089628
경기도 과천시 별양동,560.6151054136552
경기도 과천시 부림동,1248.7643446129493
경기도 과천시 원문동,497.9727931772133
경기도 과천시 주암동,481.7629369538473
경기도 과천시 중앙동,963.9847506647693
경기도 광명시 가학동,311.16222237908477
경기도 광명시 광명동,427.55865246647755
경기도 광명시 노온사동,317.1299298935611
경기도 광명시 소하동,611.964530424312
경기도 광명시 옥길동,333.61394366538474
경기도 광명시 일직동,679.3833327188551
경기도 광명시 철산동,514.2633405608136
경기도 광명시 하안동,376.2684145958838
경기도 광주시 경안동,516.193242139229
경기도 광주시 고산동,232.15771778315192
경기도 광주시 곤지암읍,213.61572868742914
경기도 광주시 남종면,185.23777060196483
경기도 광주시 남한산성면,468.43201612144253
경기도 광주시 능평동,192.39333697692814
경기도 광주시 도척면,257.6014312024381
경기도 광주시 매산동,239.75587081366135
경기도 광주시 목동,180.13811697849894
경기도 광주시 목현동,192.10282623185674
경기도 광주시 문형동,210.12270425686484
경기도 광주시 삼동,200.96533690946757
경기도 광주시 송정동,250.31812577203095
경기도 광주시 신현동,243.46245186946004
경기도 광주시 쌍령동,316.71397188423117
경기도 광주시 양벌동,246.93191030630274
경기도 광주시 역동,384.3539025551731
경기도 광주시 장지동,448.89065774660463
경기도 광주시 중대동,269.0051614019859
경기도 광주시 직동,256.70103092783506
경기도 광주시 초월읍,223.91734577870915
경기도 광주시 추자동,296.0650271543895
경기도 광주시 탄벌동,348.49507161619925
경기도 광주시 태전동,358.80688888490175
경기도 광주시 퇴촌면,207.70433519112484
경기도 광주시 회덕동,235.22900497535596
경기도 구리시 갈매동,430.23176153755446
경기도 구리시 교문동,455.31517391058526
경기도 구리시 사노동,309.512491451978
경기도 구리시 수택동,447.97097075673463
경기도 구리시 아천동,284.177455843434
경기도 구리시 인창동,355.72327941744544
경기도 구리시 토평동,472.26180395983073
경기도 군포시 금정동,279.62261884496365
경기도 군포시 당동,299.9993302872112
경기도 군포시 당정동,330.2522693056376
경기도 군포시 대야미동,253.6496380611281
경기도 군포시 도마교동,280.59337886631573
경기도 군포시 둔대동,296.1807608514144
경기도 군포시 부곡동,631.6560962767331
경기도 군포시 산본동,397.80813918751505
경기도 김포시 감정동,386.93953328214883
경기도 김포시 걸포동,390.54262161881786
경기도 김포시 고촌읍,363.543117475131
경기도 김포시 구래동,467.0855667014948
경기도 김포시 대곶면,190.33643597397673
경기도 김포시 마산동,964.2222269202466
경기도 김포시 북변동,305.8522487653008
경기도 김포시 사우동,405.16960027792305
경기도 김포시 양촌읍,300.60713716930354
경기도 김포시 운양동,499.25543797402366
경기도 김포시 월곶면,243.0694991674173
경기도 김포시 장기동,536.6354132974736
경기도 김포시 통진읍,214.8022331193019
경기도 김포시 풍무동,437.6011261825749
경기도 김포시 하성면,187.5316130864103
경기도 남양주시 금곡동,346.26632187557044
경기도 남양주시 다산동,414.78751963089934
경기도 남양주시 별내동,580.0559951942212
경기도 남양주시 별내면,359.82349428100815
경기도 남양주시 삼패동,783.1069076982543
경기도 남양주시 수동면,143.78911610184534
경기도 남양주시 수석동,336.45940852893375
경기도 남양주시 오남읍,230.39586969475025
경기도 남양주시 와부읍,387.8446640970871
경기도 남양주시 이패동,313.18868441574125
경기도 남양주시 일패동,174.84652028365832
경기도 남양주시 조안면,244.40898324568266
경기도 남양주시 진건읍,228.5709713874619
경기도 남양주시 진접읍,376.03092100486026
경기도 남양주시 퇴계원읍,403.09664992635555
경기도 남양주시 평내동,274.9274309181227
경기도 남양주시 호평동,436.9413543344802
경기도 남양주시 화도읍,284.38463246353854
경기도 동두천시 광암동,52.24112829251506
경기도 동두천시 동두천동,181.70235432111767
경기도 동두천시 보산동,133.85403654280285
경기도 동두천시 상봉암동,167.83731632017034
경기도 동두천시 상패동,146.6003694044864
경기도 동두천시 생연동,193.81415197931594
경기도 동두천시 송내동,190.28790375272553
경기도 동두천시 안흥동,126.8055885501512
경기도 동두천시 지행동,370.86936550244457
경기도 동두천시 탑동동,122.90175810553283
경기도 동두천시 하봉암동,90.38589945686851
경기도 부천시 소사구,383.64447050630963
경기도 부천시 오정구,337.4583159688892
경기도 부천시 원미구,382.21035333883475
경기도 성남시 분당구,636.4291561854366
경기도 성남시 수정구,353.8622118220634
경기도 성남시 중원구,389.4249591733054
경기도 수원시 권선구,524.3162147049394
경기도 수원시 영통구,490.40225229037384
경기도 수원시 장안구,298.95440679631486
경기도 수원시 팔달구,345.95118623186625
경기도 시흥시 거모동,237.92034938526456
경기도 시흥시 계수동,274.0722301547805
경기도 시흥시 과림동,326.2158664574664
경기도 시흥시 광석동,229.05044975028585
경기도 시흥시 군자동,247.07259262854717
경기도 시흥시 금이동,282.53416791473484
경기도 시흥시 논곡동,268.33371796602273
경기도 시흥시 능곡동,418.27874783659604
경기도 시흥시 대야동,266.7642604737631
경기도 시흥시 도창동,225.53094526371672
경기도 시흥시 매화동,231.48305316513614
경기도 시흥시 목감동,288.27231832760623
경기도 시흥시 무지내동,241.9800418679399
경기도 시흥시 물왕동,312.4235992380816
경기도 시흥시 미산동,231.09289718905126
경기도 시흥시 방산동,259.17869568941387
경기도 시흥시 배곧동,1385.0786789744209
경기도 시흥시 산현동,288.23968576146433
경기도 시흥시 신천동,327.845540573959
경기도 시흥시 안현동,245.208367749565
경기도 시흥시 월곶동,264.41250680095123
경기도 시흥시 은행동,305.1400810541084
경기도 시흥시 장곡동,219.21946610497548
경기도 시흥시 장현동,254.5217271623745
경기도 시흥시 정왕동,274.3924971714956
경기도 시흥시 조남동,341.16094269398724
경기도 시흥시 죽율동,252.4350557759223
경기도 시흥시 포동,244.9865218589324
경기도 시흥시 하상동,279.3926193188566
경기도 시흥시 하중동,233.51065722315076
경기도 안산시 단원구,340.9282990826939
경기도 안산시 상록구,279.6862185340001
경기도 안성시 가사동,229.595694139437
경기도 안성시 계동,247.90972374739502
경기도 안성시 고삼면,94.62582001171407
경기도 안성시 공도읍,298.3505242651578
경기도 안성시 구포동,130.1049056397053
경기도 안성시 금광면,152.82830582548732
경기도 안성시 금산동,159.50339156733588
경기도 안성시 금석동,167.98481869779076
경기도 안성시 낙원동,280.18034143044946
경기도 안성시 당왕동,271.80815634773506
경기도 안성시 대덕면,143.32271882082478
경기도 안성시 대천동,144.9857631242138
경기도 안성시 도기동,235.13455855402307
경기도 안성시 동본동,169.93697524190378
경기도 안성시 미양면,225.08730501940528
경기도 안성시 발화동,160.60631477680786
경기도 안성시 보개면,113.53206802413793
경기도 안성시 봉산동,116.06966456273824
경기도 안성시 사곡동,205.0580997949419
경기도 안성시 삼죽면,140.08223825035608
경기도 안성시 서운면,160.93828315628332
경기도 안성시 서인동,219.9904627585104
경기도 안성시 석정동,179.149713775821
경기도 안성시 숭인동,143.4461244859148
경기도 안성시 신건지동,94.58122895622895
경기도 안성시 신소현동,446.80253188372507
경기도 안성시 신흥동,116.69080959278931
경기도 안성시 아양동,455.7757232305698
경기도 안성시 양성면,125.59143422958454
경기도 안성시 연지동,192.4346066194534
경기도 안성시 영동,114.49164600755644
경기도 안성시 옥산동,214.88669342102062
경기도 안성시 옥천동,112.87396090136667
경기도 안성시 원곡면,164.59712395508285
경기도 안성시 인지동,155.30974702611093
경기도 안성시 일죽면,140.20368745241498
경기도 안성시 죽산면,98.29213128049857
경기도 안성시 중리동,466.66666666666663
경기도 안성시 창전동,141.2644641987477
경기도 안양시 동안구,459.76230931056824
경기도 안양시 만안구,346.58813086233823
경기도 양주시 고암동,356.22671426728607
경기도 양주시 고읍동,428.740079653966
경기도 양주시 광사동,407.0537168749635
경기도 양주시 광적면,191.89714565929373
경기도 양주시 남면,120.65706694431881
경기도 양주시 남방동,123.60211567586164
경기도 양주시 덕계동,447.3833734760073
경기도 양주시 덕정동,250.1016277291719
경기도 양주시 마전동,227.95062424247027
경기도 양주시 만송동,453.48533509072837
경기도 양주시 백석읍,201.2218238299403
경기도 양주시 봉양동,126.15313771157747
경기도 양주시 산북동,344.42341547437445
경기도 양주시 삼숭동,369.6456935858151
경기도 양주시 옥정동,349.1702564102564
경기도 양주시 유양동,189.85950075585572
경기도 양주시 율정동,85.63688686528413
경기도 양주시 은현면,127.06208067975066
경기도 양주시 장흥면,182.5764458008678
경기도 양주시 회암동,254.15304397183417
경기도 양주시 회정동,261.4593375295895
경기도 양평군 강상면,140.69862834968828
경기도 양평군 강하면,207.89925881011757
경기도 양평군 개군면,206.82893397538137
경기도 양평군 단월면,116.69923256256907
경기도 양평군 서종면,214.32143392098197
경기도 양평군 양동면,94.41392008362294
경기도 양평군 양서면,279.8529489946659
경기도 양평군 양평읍,458.9710516633184
경기도 양평군 옥천면,118.59573208295221
경기도 양평군 용문면,189.72016219890608
경기도 양평군 지평면,111.98300790193845
경기도 양평군 청운면,130.87845939131117
경기도 여주시 가남읍,208.7534224414063
경기도 여주시 가업동,194.44444444444446
경기도 여주시 강천면,120.92489404317277
경기도 여주시 교동,203.31738333035477
경기도 여주시 금사면,133.61785288413554
경기도 여주시 대신면,140.55467804400027
경기도 여주시 북내면,102.26728017065493
경기도 여주시 산북면,122.0792857150147
경기도 여주시 삼교동,109.94230105907253
경기도 여주시 상거동,406.25055349744025
경기도 여주시 상동,170.34925899557103
경기도 여주시 세종대왕면,121.23806115027007
경기도 여주시 연라동,39.761431411530815
경기도 여주시 연양동,106.4642593218853
경기도 여주시 오학동,127.20189780865105
경기도 여주시 월송동,172.27340971418946
경기도 여주시 점동면,132.3977148176204
경기도 여주시 점봉동,135.68773184846836
경기도 여주시 창동,287.8579242672357
