시군구,㎡당단가(만원)
충청북도 괴산군 감물면,74.3130723525963
충청북도 괴산군 괴산읍,196.33486999840565
충청북도 괴산군 문광면,102.97096487078905
충청북도 괴산군 불정면,88.53650415100732
충청북도 괴산군 사리면,149.03198146959863
충청북도 괴산군 소수면,157.86121412664627
충청북도 괴산군 연풍면,89.13808560455587
충청북도 괴산군 장연면,84.53605056044333
충청북도 괴산군 청안면,133.33125521237142
충청북도 괴산군 청천면,159.80624976853662
충청북도 괴산군 칠성면,141.1098578827692
충청북도 단양군 가곡면,196.09891906040136
충청북도 단양군 단성면,113.67920155037017
충청북도 단양군 단양읍,422.7125438430216
충청북도 단양군 대강면,143.83410965673514
충청북도 단양군 매포읍,88.6917163982576
충청북도 단양군 어상천면,63.10307096851662
충청북도 단양군 영춘면,137.80842838859306
충청북도 단양군 적성면,90.741756741179
충청북도 보은군 내북면,51.880229760017
충청북도 보은군 마로면,92.12474511263801
충청북도 보은군 보은읍,208.65715036474117
충청북도 보은군 산외면,60.313414929487884
충청북도 보은군 삼승면,93.8263264965222
충청북도 보은군 속리산면,87.32782807462198
충청북도 보은군 수한면,107.67604829631505
충청북도 보은군 장안면,186.82721684582796
충청북도 보은군 탄부면,29.810059795990153
충청북도 보은군 회인면,60.10874231464137
충청북도 영동군 매곡면,45.26935264825713
충청북도 영동군 상촌면,120.87704520281369
충청북도 영동군 심천면,66.12792078247934
충청북도 영동군 양강면,74.63592625360468
충청북도 영동군 양산면,62.933478594718764
충청북도 영동군 영동읍,180.75385196907217
충청북도 영동군 용산면,115.45018906794814
충청북도 영동군 용화면,38.58024691358025
충청북도 영동군 추풍령면,58.896193355635646
충청북도 영동군 학산면,42.62154095310493
충청북도 영동군 황간면,107.9169105474387
충청북도 옥천군 군북면,186.62200902091305
충청북도 옥천군 군서면,142.47920213083543
충청북도 옥천군 동이면,138.26905529966805
충청북도 옥천군 안남면,93.75399361022365
충청북도 옥천군 안내면,92.03933559789759
충청북도 옥천군 옥천읍,229.2042529480962
충청북도 옥천군 이원면,166.73012265956228
충청북도 옥천군 청산면,117.26747299276298
충청북도 옥천군 청성면,80.7909358189748
충청북도 음성군 감곡면,199.33106090066747
충청북도 음성군 금왕읍,257.8962728573248
충청북도 음성군 대소읍,250.07486482886685
충청북도 음성군 맹동면,360.0580365818227
충청북도 음성군 삼성면,244.07893832393822
충청북도 음성군 생극면,129.6202917869837
충청북도 음성군 소이면,68.38662158041872
충청북도 음성군 원남면,143.27022423261351
충청북도 음성군 음성읍,174.5370206568417
충청북도 제천시 강제동,456.1913481763146
충청북도 제천시 고명동,138.94578865630015
충청북도 제천시 고암동,178.95045722937905
충청북도 제천시 교동,98.1219682895361
충청북도 제천시 금성면,143.63781538015473
충청북도 제천시 남천동,98.1227410263305
충청북도 제천시 대랑동,94.45422407088215
충청북도 제천시 덕산면,87.16770540765489
충청북도 제천시 동현동,62.17409342500971
충청북도 제천시 두학동,129.3816236092989
충청북도 제천시 명동,154.94665372697554
충청북도 제천시 명지동,299.39695586743636
충청북도 제천시 모산동,223.85957917810478
충청북도 제천시 백운면,131.7560064266071
충청북도 제천시 봉양읍,125.82488572580988
충청북도 제천시 산곡동,95.13141254009118
충청북도 제천시 서부동,683.7430447295023
충청북도 제천시 송학면,126.27959493631884
충청북도 제천시 수산면,50.899218591557556
충청북도 제천시 신동,34.79635351160478
충청북도 제천시 신백동,168.63709498907758
충청북도 제천시 신월동,173.5443071024699
충청북도 제천시 영천동,133.65316838850137
충청북도 제천시 왕암동,124.7563218178472
충청북도 제천시 의림동,161.4458851542094
충청북도 제천시 장락동,299.6590768638968
충청북도 제천시 중앙로1가,200.95023227761217
충청북도 제천시 중앙로2가,124.77524969137455
충청북도 제천시 천남동,378.08594446305216
충청북도 제천시 청전동,150.8403068987773
충청북도 제천시 청풍면,134.6744175353765
충청북도 제천시 하소동,183.82290311047487
충청북도 제천시 한수면,127.45367179084374
충청북도 제천시 화산동,100.59384106614837
충청북도 제천시 흑석동,96.08540925266904
충청북도 증평군 도안면,98.37904780937106
충청북도 증평군 증평읍,189.11499409113708
충청북도 진천군 광혜원면,169.82805315505746
충청북도 진천군 덕산읍,381.61239872131546
충청북도 진천군 문백면,214.63050050615323
충청북도 진천군 백곡면,139.89262624070432
충청북도 진천군 이월면,145.2762340059622
충청북도 진천군 진천읍,302.2686962802741
충청북도 진천군 초평면,151.16563799359986
충청북도 청주시 상당구,439.3102785709708
충청북도 청주시 서원구,260.38488667596323
충청북도 청주시 청원구,301.0927193008051
충청북도 청주시 흥덕구,364.0115847772152
충청북도 충주시 가주동,100.82452052339129
충청북도 충주시 교현동,207.8574867659981
충청북도 충주시 금가면,191.40309858272016
충청북도 충주시 금릉동,220.74630243307863
충청북도 충주시 노은면,154.90117648953407
충청북도 충주시 단월동,269.17009763468826
충청북도 충주시 달천동,211.53846153846155
충청북도 충주시 대소원면,189.39963906933582
충청북도 충주시 동량면,181.04305681450182
충청북도 충주시 목행동,77.41383751108913
충청북도 충주시 문화동,113.90815086232384
충청북도 충주시 봉방동,196.2946464183544
충청북도 충주시 산척면,154.63700704335557
충청북도 충주시 살미면,84.95847897198783
충청북도 충주시 성남동,100.41760976585147
충청북도 충주시 성내동,124.91213453399155
충청북도 충주시 성서동,196.58724541072945
충청북도 충주시 소태면,243.35202127437006
충청북도 충주시 수안보면,57.98177345243906
충청북도 충주시 신니면,125.76385237959406
충청북도 충주시 안림동,303.74447767820607
